Date,Open,High,Low,Close,Volume
2024-01-02,185.53,186.88,183.62,185.24,28987123
2024-01-03,184.22,185.01,183.26,184.12,25123456
2024-01-04,182.15,183.01,181.50,182.68,22345678
2024-01-05,181.02,183.42,180.25,183.12,24567890
2024-01-08,183.50,185.75,183.25,185.50,23456789
2024-01-09,185.92,188.25,185.50,187.95,27890123
2024-01-10,188.01,189.50,186.75,187.12,26789012
2024-01-11,186.50,187.25,184.50,185.25,25678901
2024-01-12,185.75,186.88,183.25,184.52,24567890
2024-01-16,183.25,184.50,181.75,182.25,23456789
2024-01-17,181.50,183.25,180.25,181.12,22345678
2024-01-18,181.88,184.75,181.50,184.50,25123456
2024-01-19,185.25,188.50,185.00,188.15,28456789
2024-01-22,188.75,191.25,188.25,190.85,29567890
2024-01-23,190.50,192.75,189.75,191.55,30123456
2024-01-24,191.25,193.00,190.00,190.75,28234567
2024-01-25,190.25,191.50,188.50,189.25,26345678
2024-01-26,189.75,190.88,187.25,188.50,25456789
2024-01-29,188.00,189.25,186.50,187.25,24567890
2024-01-30,186.75,188.50,185.75,188.00,23678901
2024-01-31,188.25,190.25,187.75,189.95,26789012
2024-02-01,190.50,193.75,190.25,193.25,29890123
2024-02-02,194.00,196.50,193.50,195.75,31234567
2024-02-05,195.25,197.00,194.75,196.50,28345678
2024-02-06,196.00,196.75,193.25,194.25,26456789
2024-02-07,193.75,195.50,192.50,195.00,25567890
2024-02-08,195.25,198.25,195.00,197.75,28678901
2024-02-09,198.00,199.50,196.75,198.50,29789012
2024-02-12,198.25,199.75,197.50,199.25,27890123
2024-02-13,198.50,199.25,195.75,196.50,28901234
2024-02-14,196.75,198.50,195.25,198.00,26012345
2024-02-15,198.25,201.25,198.00,200.75,31123456
2024-02-16,200.50,201.50,199.00,199.75,28234567
2024-02-20,199.25,200.75,197.50,198.25,26345678
2024-02-21,197.75,199.00,196.25,197.50,25456789
2024-02-22,198.00,201.50,197.75,201.25,29567890
2024-02-23,201.50,203.75,201.00,203.50,32678901
2024-02-26,203.25,204.50,202.25,203.75,30789012
2024-02-27,203.50,204.00,201.50,202.25,28890123
2024-02-28,202.00,203.25,200.75,201.50,27901234
2024-02-29,201.75,205.50,201.25,205.25,33012345
